AnnoS;AteneoCOD;AteneoNOME;Lau_D
2018;2701;Ca' Foscari Venezia;79
2018;9201;Cagliari;35
2018;7801;Calabria;85
2018;4302;Camerino;61
2018;7203;Casamassima – LUM G. Degennaro;1
2018;6001;Cassino;35
2018;1201;Castellanza LIUC;7
2018;8701;Catania;21
2018;7901;Catanzaro;3
2018;6901;Chieti e Pescara;36
2018;3801;Ferrara;86
2018;4801;Firenze;302
2018;4804;Firenze IUL - telematica;2
2018;7101;Foggia;7
2018;1001;Genova;281
2018;1202;Insubria;43
2018;6601;L'Aquila;98
2018;4301;Macerata;24
2018;4201;Marche;44
2018;8301;Messina;23
2018;1501;Milano;372
2018;1509;Milano Bicocca;84
2018;1503;Milano Bocconi;354
2018;1504;Milano Cattolica;153
2018;1505;Milano IULM;33
2018;1502;Milano Politecnico;267
2018;1508;Milano San Raffaele;18
2018;3601;Modena e Reggio Emilia;93
2018;7001;Molise;3
2018;6304;Napoli Benincasa;3
2018;6301;Napoli Federico II;24
2018;6303;Napoli L'Orientale;12
2018;6302;Napoli Parthenope;1
2018;6307;Napoli Pegaso - telematica;6
2018;6306;Napoli Vanvitelli;5
2018;1301;Novedrate e-Campus - telematica;24
2018;2801;Padova;214
2018;8201;Palermo;19
2018;3401;Parma;122
2018;1801;Pavia;152
2018;5401;Perugia;104
2018;5403;Perugia Stranieri;68
2018;201;Piemonte Orientale;30
2018;5001;Pisa;160
2018;8001;Reggio Calabria;3
2018;8003;Reggio Calabria - Dante Alighieri;9
2018;5814;Roma  Mercatorum - telematica;1
2018;5808;Roma Biomedico;4
2018;5812;Roma Europea;2
2018;5806;Roma Foro Italico;11
2018;5801;Roma La Sapienza;466
2018;5817;Roma Link Campus;5
2018;5805;Roma Luiss;76
2018;5803;Roma LUMSA;51
2018;5810;Roma Marconi - telematica;7
2018;5816;Roma San Raffaele - telematica;6
2018;5802;Roma Tor Vergata;91
2018;5807;Roma Tre;117
2018;5815;Roma UNICUSANO - telematica;20
2018;5813;Roma UNINETTUNO - telematica;8
2018;5809;Roma UNINT;11
2018;5811;Roma UNITELMA - telematica;1
2018;1510;Rozzano (MI) Humanitas University;1
2018;7501;Salento;13
2018;6501;Salerno;38
2018;6201;Sannio;8
2018;9001;Sassari;29
2018;5201;Siena;112
2018;5202;Siena Stranieri;11
2018;6701;Teramo;23
2018;101;Torino;276
2018;102;Torino Politecnico;502
2018;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;2
2018;2201;Trento;151
2018;3201;Trieste;150
2018;3001;Udine;56
2018;4101;Urbino;91
2018;2702;Venezia Iuav;42
2018;2301;Verona;78
2017;701;Aosta;5
2017;7201;Bari;41
2017;7202;Bari Politecnico;4
2017;7601;Basilicata;6
2017;6202;Benevento Giustino Fortunato - telematica;2
2017;1601;Bergamo;60
2017;3701;Bologna;754
2017;2101;Bolzano;68
2017;401;Bra Scienze Gastronomiche;15
2017;1701;Brescia;65
2017;2701;Ca' Foscari Venezia;58
2017;9201;Cagliari;25
2017;7801;Calabria;116
2017;4302;Camerino;61
2017;6001;Cassino;24
2017;1201;Castellanza LIUC;11
2017;8701;Catania;15
2017;7901;Catanzaro;2
2017;6901;Chieti e Pescara;37
2017;8601;Enna KORE;1
2017;3801;Ferrara;85
2017;4801;Firenze;321
2017;7101;Foggia;4
2017;1001;Genova;208
2017;1202;Insubria;46
2017;6601;L'Aquila;99
2017;4301;Macerata;26
2017;4201;Marche;66
2017;8301;Messina;18
2017;1501;Milano;344
2017;1509;Milano Bicocca;116
2017;1503;Milano Bocconi;336
2017;1504;Milano Cattolica;150
2017;1505;Milano IULM;22
2017;1502;Milano Politecnico;242
2017;1508;Milano San Raffaele;11
2017;3601;Modena e Reggio Emilia;83
2017;7001;Molise;4
2017;6304;Napoli Benincasa;1
2017;6301;Napoli Federico II;21
2017;6303;Napoli L'Orientale;18
2017;6302;Napoli Parthenope;5
2017;6307;Napoli Pegaso - telematica;3
2017;6306;Napoli Vanvitelli;3
2017;1301;Novedrate e-Campus - telematica;17
2017;2801;Padova;186
2017;8201;Palermo;30
2017;3401;Parma;141
2017;1801;Pavia;150
2017;5401;Perugia;110
2017;5403;Perugia Stranieri;55
2017;201;Piemonte Orientale;22
2017;5001;Pisa;159
2017;8001;Reggio Calabria;1
2017;8003;Reggio Calabria - Dante Alighieri;1
2017;5808;Roma Biomedico;5
2017;5812;Roma Europea;1
2017;5806;Roma Foro Italico;12
2017;5801;Roma La Sapienza;429
2017;5817;Roma Link Campus;4
2017;5805;Roma Luiss;66
2017;5803;Roma LUMSA;37
2017;5810;Roma Marconi - telematica;7
2017;5816;Roma San Raffaele - telematica;1
2017;5802;Roma Tor Vergata;52
2017;5807;Roma Tre;100
2017;5815;Roma UNICUSANO - telematica;16
2017;5813;Roma UNINETTUNO - telematica;12
2017;5809;Roma UNINT;7
2017;5811;Roma UNITELMA - telematica;1
2017;1510;Rozzano (MI) Humanitas University;1
2017;7501;Salento;12
2017;6501;Salerno;40
2017;6201;Sannio;2
2017;9001;Sassari;43
2017;5201;Siena;117
2017;5202;Siena Stranieri;16
2017;6701;Teramo;20
2017;101;Torino;257
2017;102;Torino Politecnico;416
2017;2201;Trento;194
2017;3201;Trieste;147
2017;5601;Tuscia;1
2017;3001;Udine;98
2017;4101;Urbino;93
2017;2702;Venezia Iuav;41
2017;2301;Verona;60
2016;701;Aosta;11
2016;7201;Bari;55
2016;7202;Bari Politecnico;8
2016;7601;Basilicata;8
2016;1601;Bergamo;68
2016;3701;Bologna;778
2016;2101;Bolzano;66
2016;401;Bra Scienze Gastronomiche;18
2016;1701;Brescia;76
2016;2701;Ca' Foscari Venezia;71
2016;9201;Cagliari;18
2016;7801;Calabria;95
2016;4302;Camerino;60
2016;7203;Casamassima – LUM G. Degennaro;1
2016;6001;Cassino;18
2016;1201;Castellanza LIUC;16
2016;8701;Catania;17
2016;7901;Catanzaro;4
2016;6901;Chieti e Pescara;33
2016;8601;Enna KORE;1
2016;3801;Ferrara;88
2016;4801;Firenze;323
2016;7101;Foggia;3
2016;1001;Genova;208
2016;1202;Insubria;38
2016;6601;L'Aquila;82
2016;4301;Macerata;49
2016;4201;Marche;45
2016;8301;Messina;34
2016;1501;Milano;311
2016;1509;Milano Bicocca;105
2016;1503;Milano Bocconi;329
2016;1504;Milano Cattolica;178
2016;1505;Milano IULM;21
2016;1502;Milano Politecnico;255
2016;1508;Milano San Raffaele;13
2016;3601;Modena e Reggio Emilia;106
2016;7001;Molise;8
2016;6304;Napoli Benincasa;3
2016;6301;Napoli Federico II;27
2016;6303;Napoli L'Orientale;23
2016;6302;Napoli Parthenope;1
2016;6307;Napoli Pegaso - telematica;5
2016;6306;Napoli Vanvitelli;4
2016;1301;Novedrate e-Campus - telematica;12
2016;2801;Padova;184
2016;8201;Palermo;41
2016;3401;Parma;145
2016;1801;Pavia;110
2016;5401;Perugia;100
